"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7790070036261","Medallon de Arroz Yamani y Cebolla Caramelizada Veggies Granja Del Sol 440 Gr","GRANJA DEL SOL","440.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/298982/Medallones-Veggies-Granja-Del-Sol-Con-Cebolla-Caramelizada-Y-Arroz-Yaman-440g-4u-1-48289.jpg?v=638301405809430000"
"7792180142122","Pizza Congelada Mozzarella Pietro 470 Gr","PIETRO","470.0 gr","3","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/8/c/78c45df52ba29ee35db83f6d375f717a"
"7790070035950","Bocaditos de Pollo Rebozados +100 Gr Gratis Patitas 1.1 Kg","PATITAS","1.1 kg","3","https://masonlineprod.vteximg.com.br/arquivos/ids/327632/Patitas-De-Pollo-Granja-Del-Sol-1100-G-1-41700.jpg?v=638648635271870000"
"7790070034410","Nuggets de Pollo Bolsa Granja Del Sol 400 Gr","GRANJA DEL SOL","400.0 gr","3","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/3/5/a350fc0e4100ad1086137d545b32cd86"
"7790070036148","Supremitas de Pollo Rebozadas Granja Del Sol 480 Gr","GRANJA DEL SOL","480.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/277569/Supremitas-Granja-Del-Sol-De-Pollo-4u-1-41714.jpg?v=638888874111400000"
"7790360967558","Medallones de Pollo Swift 4 Un 320 Gr","SWIFT","320.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/189228/Medallones-De-Pollo-Swift-X4-1-297526.jpg?v=637841665623630000"
"7790360971135","Bocaditos de Pollo Swift 260 Gr","SWIFT","260.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/233156/0779036097113-01-27208.jpg?v=637859708764070000"
"7891515571351","Bocaditos Nuggets de Pollo Crocante Sadia 300 Gr","SADIA","300.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/246567/Nuggets-De-Pollo-Sadia-Congelada-Crocrante-300-Gr-1-32429.jpg?v=637885929759730000"
"7891515547059","Bocaditos Nuggets de Pollo Sadia 900 Gr","SADIA","900.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/203652/0789151554705-01-15020.jpg?v=637850618431700000"
"7790079019708","Medallones de Pollo con Jamon y Queso Paladini 2 Un 170 Gr","PALADINI","170.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/201489/0779007901970-01-19388.jpg?v=637844814848930000"
"7790079019692","Medallones de Pollo Flowpack Paladini 2 Un 150 Gr","PALADINI","150.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/201487/0779007901969-01-9422.jpg?v=637844814842200000"
