EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7791337010444","Yogur Entero Cremoso con Cereales la Serenísima Nutrición Activa 159 Grs (Yogur 145 g + Cereal 14G)","La Serenisima","159 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_09bcf6e9cb0941f5819cbc5c596f4180_639047720609246198_0_m.jpg"
"7791337010185","Yogur Entero Firme la Serenísima Sabor Frutilla en Pote 190 Grs","La Serenisima","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_4d89b372efc043d4a71c1275e4941a0c_639040799268087607_0_m.jpg"
"7791337010192","Yogur Entero Firme la Serenísima Sabor Vainilla en Pote 190 Grs","La Serenisima","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_75c0f2f266b445bc99d35d5e3a224e57_639040793197930877_0_m.jpg"
"7791337010338","Yogur Firme Descremado Sabor Frutilla la Serenísima Nutrición Activa 190 Grs","La Serenisima","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_2aa0262fc24745d1a591086c39f8f063_639047705480423525_0_m.jpg"
"7791337010321","Yogur Firme Descremado Sabor Vainilla la Serenisima Nutricion Activa 190 Gr.","La Serenisima","190 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_6ceb0306ddf94587a3f4ccf686e95b78_639047595690142190_0_m.jpg"
"7793890261509","Pan Lacteado Rodajas Finas x 370 gr Fargo","Fargo","370 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_5a97c43b8ef34c94942448be1e387784_638770147623157619_0_m.jpg"
"7791337009943","Yogur Griego Batido Frutilla x 140 grs Yogurisimo","Yogurisimo","140 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_f96538eea6d04a85bd98c938fbfd85a5_638907521417741970_0_m.jpg"
"7791337009950","Yogur Griego Batido Vainilla x 140 grs Yogurisimo","Yogurisimo","140 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_e5901113551b4035a4a11f6b95775f0c_638907521075091062_0_m.jpg"
"7793890261486","Pan Integral Grano Entero Fargo 400 gr","Fargo","400 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_e9f7cd9aa17440e48f69b00aa0587bed_638759019886015754_0_m.jpg"
"7793890261493","Pan Mix de Cereales Fargo 400 gr","Fargo","400 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_92de4baed33249958bd7c06080c5b8c2_638759020010643113_0_m.jpg"
"7793890262155","Pan Blanco Lacteado Fargo en Bolsa 510 Grs","Fargo","510 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_a5d46082b81a49bd98982dc871454ef1_639012293829481309_0_m.jpg"
"7793890262148","Pan Lacteado Rodajas Finas Fargo 510 Grs","Fargo","510 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_f7657f83725f497bbbb058e6654a3c65_639012299592347142_0_m.jpg"
"7791337009981","Yogur Griego Batido Natural Endulzado x 190 grs Yogurisimo","Yogurisimo","190 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_4c249dda08d04d429d5407ae8088b5b6_638915331341579821_0_m.jpg"
"7791337009998","Yogur Griego Firme Natural x 190 grs Yogurisimo","Yogurisimo","190 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_833e89597a97439296b7423dbfbe42d3_638907520521854820_0_m.jpg"
"7793890261233","Pan Blanco Bimbo x 400 gr","Bimbo","400 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_85b880fb08dd48bb917a87c75b295838_638694116122955153_0_m.jpg"
"7793890261219","Pan Con Lino Bimbo x 420 gr","Bimbo","420 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_20876293ef9b456f94c3050fad4f1ff5_638701023458443580_0_m.jpg"
"7793890261226","Pan Integral Bimbo Cero Cero x 430 gr","Bimbo","430 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_5eb1f8e18d6246d3b20dbda88aeffe79_638721904320824033_0_m.jpg"
"7793890261196","Pan Integral Bimbo x 420 gr","Bimbo","420 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_14c4e38710844281bb80cdc5aabd48f9_638694114346526671_0_m.jpg"
"7793890262162","Pan Salvado Fargo en Bolsa 600 grs","Fargo","600 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_df57f89e9fbb42ccada03eb9baa4eb36_638962185032335190_0_m.jpg"
"7791337010000","Yogur Griego Natural Endulzado x 300 grs Yogurisimo","Yogurisimo","300 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_98be977c8f8c4da181ca69b88eed08e2_638915331608717842_0_m.jpg"
"7791337010017","Yogur Griego Natural Sin Endulzar x 300 grs Yogurisimo","Yogurisimo","300 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_62522fde9928478b9c9eb3410e4dd70c_638915331395664557_0_m.jpg"
"7793890262124","Pan Integral Bimbo en Bolsa 620 grs","Bimbo","620 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_8f4a36c9df0947a48569e307f2fcb8f6_638962182977011498_0_m.jpg"
"7793890262131","Pan de Mesa Liviano Bimbo Grande 580 Grs","Bimbo","580 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_7388859fe31b44d1842aa6103cb0219e_639012297693977455_0_m.jpg"
"7791337008267","Yogur Bebible Entero Yogurisimo de Banana en Sachet 900 cc.","Yogurisimo","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_0365115b92a3481c844b68fbc2eebc60_638301253164557531_0_m.jpg"
"7791337008229","Yogur Bebible Entero Yogurisimo de Frutilla en Sachet 900 cc.","Yogurisimo","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_1fe1441c94c74d63af53336b8f448baa_638301292254058426_0_m.jpg"
"7791337008243","Yogur Bebible Entero Yogurisimo de Vainilla en Sachet 900 cc.","Yogurisimo","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_eab8bccd1b2248cb98d2b3f8b5f3c9fa_638301248369442274_0_m.jpg"
"7791337009776","Yogur Bebible Natural Yogurísimo en Sachet 900 grs","Yogurisimo","900 grs","","https://cdn.batitienda.com/baticloud/images/product_picture_fff3a11c2e274db082de1409f293f5ba_638727163740266039_0_m.jpg"
"7793890262407","Pan Brioche Bimbo Artesano en Bolsa 500 Grs","Bimbo","500 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_20ca5fb8b6864342aae2ee21497e46b3_639064985174424586_0_m.jpg"
"7791337010574","Postre Crema Americana x 190 Grs Danette","Danette","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_4edd2ee9eaad4de1b11f965e959fef6a_639107968196031400_0_m.jpg"
"7791337010581","Postre Dulce de Leche x 190 Grs Danette","Danette","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_1d5770ffb4374a2090a40512b39c3b1b_639107968959733817_0_m.jpg"
"7791337010703","Postre Pistacho x 190 Grs Danette","Danette","190 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_32eac84a01874ebdb6ff244be1bd6c34_639138209432307118_0_m.jpg"
"7793890259261","Pan de Salvado Lactal Con Semillas en Bolsa 330 g.","Lactal","330 g","","https://cdn.batitienda.com/baticloud/images/product_picture_cd1a49d43b324247bd701b3b5eb2abb0_638297764759466191_0_m.jpg"
"7793890258783","Pan de Salvado Lactal Rodajas Finas 560 g.","Lactal","560 g","","https://cdn.batitienda.com/baticloud/images/product_picture_df2d3b8a45a040b282af56727de0427a_638250308274596482_0_m.jpg"
"7793890261523","Pan de Semilla Oroweat de Masa Madre 600 Grs","Oroweat","600 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_7035bd6013914002a15b077d2e6a5069_639004582825581444_0_m.jpg"
"7793890260892","Pan Integral Artesano Masa Madre x 500 gr","Artesano","500 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_5da7731e4dfa4d74ad4eba688df0618f_638685615745075021_0_m.jpg"
"7793890261516","Pan Multicereal Oroweat Masa Madre 600 Grs","Oroweat","600 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_a191a8cc9e0344608970905a57098f02_639012286560259110_0_m.jpg"
"7790742872180","Bebida Lactea Sense Avellana x 200 ml la Serenisima","La Serenisima","200 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_edacb4ab15a04c60a6c7367bf41e3a3d_639020704988566743_0_m.jpg"
"7790742872661","Bebida Lactea Sense Capuccino 200 ml","Sense","200 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_776a548e939b4b72ae6dc9b4bbb61b68_638241208806601653_0_m.jpg"
"7790742872654","Bebida Lactea Sense Caramel 200 ml","Sense","200 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_91b0f80be63d4d49b7007e1b1848ba1f_638241956189818356_0_m.jpg"
"7790742172105","Leche Descremada Protein Chocolate 1 l La Serenisima","La Serenisima","1 l","","https://cdn.batitienda.com/baticloud/images/product_picture_68d11156f27548ba91631683435c99c1_638785696072660199_0_m.jpg"
