codigo_interno,nombre_producto,precio_producto,url_imagen
283141,dulce de leche la serenísima estilo colonial 400grs,"4.555,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/5/8/a58b25f31d1f093eaa2fb247167c553e
272476,aceitunas verdes la toscana descarozadas 140grs,"2.545,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/9/8/198a25f322ab3aa2065ac1f0450164a7
153242,confites rocklets 40grs,"2.090,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/5/8/e58c5d84e8f16040eb2d27c7056bc149
287010,té negro la virginia clásico en saquitos x25 50grs,"949,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/7/a/a7ae7cf53c54a5b7e2e84166a4e65cab
288334,arvejas cooperativa al natural lata 300grs,"759,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/4/7/b47a793b0bf91a7a9b6388d2df87937e
238672,pasta dulce con avellanas y cacao nutella 140grs,"3.741,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/6/a/f6a28c87334be240082fb3c248a46751
294571,mayonesa hellmann's liviana doypack 237grs,"1.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/4/b/74b6308af133de8e9b9a72bae2ba35c3
212785,harina con levadura pureza especial pizzas caseras  1kgs,"1.990,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/1/3/a13d14b3876d1a87d5a48eb435ba28fc
126898,dulce de leche franz tradicional 400grs,"2.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/d/6/3/d63aa31c728224fa83e03f71f9624a59
284493,baño de repostería águila semiamargo 150grs,"4.260,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/b/5/7b509b64b431a4d2c29d4a62932e9e30
139130,paté de foie swift 90grs,"890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/3/4/3341cd0ad9d63c7b8133da04a0307d8c
190373,nueces nogal dorado peladas 100grs,"5.199,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/7/d/27d1bb2ed8898f43bf2448e1b36e9b23
311151,alimento vitina clásica 250grs,"1.980,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/e/8/6e8037828802e43a075bb0902cd792a2
714525,hummus de garbanzos kamar receta clásica 230grs,"4.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/7/b/a7b2d08aa4fb05f23359f7caa1268818
716912,pan de quinoa y lino schar sin gluten 200grs,"5.639,75",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/1/3/f13137ac7fdbef215487bc2b3fff6546
214460,paté de foie la negra 90grs,"935,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/b/a/4ba821b2f6052d16de56467917ab6f7d
284494,baño de repostería águila con leche 150grs,"4.260,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/4/f/54f3df1ffe40044569e2b6451b6a5455
709160,magdalenas chocolate con dulce de leche don satur 220grs,"3.199,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/0/5/505bd5b80bf8f12c812290e65ef44a79
283136,dulce de leche la serenísima clásico 400grs,"2.750,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/b/1/6b15d21ff6d07771488fb3b063221ca8
281758,arroz primer precio largo fino 00000 1kgs,"1.099,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/2/c/42c13f58cecea36223d521914c4824eb
286080,café torrado instantáneo la virginia suave doypack 170grs,"7.500,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/8/9/4/894fd5b7e7095bc531305dfd649da9dc
920550,aceite de girasol cañuelas 1500cm3,"5.990,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/6/a/b6ad6385a2df2b6fcf2590d9d4105757
129756,azúcar domino común tipo a 1kgs,"1.389,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/d/c/6dc5fc669bf53afb77ebe9cbba6b46da
