"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7500435229562","Toallas Xtra Doble Protección Seca 16 Un Always","ALWAYS","Toallas Xtra Doble Protección Seca 16 Un Always","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/781527/Toallas-Femeninas-Always-Extra-Seca-16u-1-957992.jpg?v=638197833856070000"
"7790250097624","Toallitas Femeninas Nocturna Soft con Alas x 8 Un Ladysoft","LADYSOFT","Toallitas Nocturna Soft 8 Un Ladysoft","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/844213/Toallas-Femeninas-Ladysoft-Nocturna-Soft-8-U-1-1001404.jpg?v=638660829802830000"
"7896009498978","Pasta Dental Protección Completa 140 Grs Sensodyne","SENSODYNE","Crema Dental Protección Completa X 140 Gr Sensodyne","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/837908/Crema-Dental-Sensodyne-Protec-140gr-Crema-Dental-Protecci-n-Completa-X-140-Gr-Sensodyne-1-1028220.jpg?v=638647978417600000"
"7891150103504","Oleo Dove Bond  Repair Uv 110ml","DOVE","110ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/891680/7891150103504.jpg?v=639001945283130000"
"7509552902419","Shampoo Reparación Total 5 Extreme 400 Ml Elvive","ELVIVE","400 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/793525/Shampoo-Elvive-Rep-Total-Recons-400ml-1-994972.jpg?v=638303241919130000"
"7509546075242","Cepillo de Dientes Suave Super Flexi x 2 Un Colgate","COLGATE","Cepillo De Dientes Colgate Super Flexi 2 U","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/836626/Cepillo-De-Dientes-Colgate-Super-Flexi-2-U-1-889271.jpg?v=638634155270530000"
"7790010002769","Toallas Femeninas Especial Ultrafina Suave con Alas x 8 Un Siempre Libre","SIEMPRE LIBRE","Toallas Femeninas Especial Ultrafina X 8 Un Siempre Libre","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/850794/Toallas-Femeninas-Siempre-Libre-Especial-Ultrafina-X8u-1-987779.jpg?v=638706516124770000"
"7891150068735","Deo Masc Rexona Clinical Sport X150ml","REXONA","150ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/789041/Desodorante-Antitranspirante-Rexona-Clinical-150ml-1-974620.jpg?v=638258961839130000"
"7891150103481","Tratamiento Dove Bond Uv Repair 250ml","DOVE","250ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/891666/7891150103481.jpg?v=639001944485100000"
"7791293050263","Acondicionador Detox Capilar 500 Ml Tresemmé","TRESEMMÉ","500 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/865498/Acondicionador-Detox-Capilar-X-500-Ml-Tresemm-1-1037026.jpg?v=638814514369200000"
"7791293050911","Jabón de Tocador Sensible Frescura Revitalizante 120 Grs x 3 Un Rexona","REXONA","Jabon De Tocador Sensible 120 Grs X 3 Un Rexona","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/856910/Jabon-De-Tocador-Rexona-Sensible-3x120-Gr-1-1018006.jpg?v=638755979966570000"
"7509552964417","Acondicionador Dream Liso X 200 Ml Elvive","ELVIVE","200 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/868191/Acondicionador-Dream-Liso-X-200-Ml-Elvive-1-1037722.jpg?v=638832873725770000"
"7509552920949","Crema para Peinar Rizos Poderosos 250 Ml Fructis","FRUCTIS","250 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/807226/Crema-Para-Peinar-Fructis-Rizos-Poderosos-250ml-1-999769.jpg?v=638410270071700000"
"7791293045702","Shampoo Brillo Ceramidas 300 Ml Sedal","SEDAL","300 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/885177/Shampoo-Ceramidas-X-300-Ml-Sedal-1-1048836.jpg?v=638948326104630000"
"7500435235334","Acondicionador Pro-V Miracles Volumen 400 Ml Pantene","PANTENE","400 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/808471/Aco-Pantene-Provmir-Volumen-400-Ml-1-1006987.jpg?v=638422478417600000"
"7792052098229","Agua Micelar con Extracto de Maracuyá 200 Ml Family Care","FAMILY CARE","200 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/876136/Agua-Micelar-Con-Extracto-De-Maracuyax-200-Ml-Family-Care-1-1039853.jpg?v=638876073742970000"
"7506306255050","Desodorante Spray Cherry Spritz X 150 Ml Axe","AXE","150 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/856916/Desodorante-Spray-Cherry-Spritz-X-150-Ml-Axe-1-1032582.jpg?v=638755979985300000"
"7791293050577","Crema De Peinar Sedal Hialurónico Y Vitamina A 300 Ml","SEDAL","300 ml","perfumeria","https://jumboargentina.vteximg.com.br/arquivos/ids/880998/Crema-De-Peinar-Sedal-Hialur-nico-Y-Vitamina-A-300-Ml-1-998777.jpg?v=638913011121130000"
