ean,codigo_interno_coope
7790598010217,130753
7790598012136,130761
7790598021701,187844
7796373112701,259126
7891132001705,316960
7791866001203,136239
7794000006072,289525
7791866001364,851019
7794000006058,289526
7791866003283,101663
7798146138178,275049
7794000006553,293230
7791620187662,312596
7792180142009,310233
7790580135454,290441
7790580135430,290439
7798146138857,294358
7791866004211,199120
7791620187686,312597
7794000004917,285901
7794000004887,285896
7792900990699,322564
7794000004924,285902
7790150432440,286961
7790150431443,287749
7790150437803,285508
7794000004931,285903
7790150433430,285514
7790150438305,287009
7891132012015,316953
7891132011018,316952
7791004000099,179051
7791004000839,280580
7790072001014,109681
7791004000051,179060
7793433000497,100774
7791004000822,280581
7790150550465,286962
77956262,136328
7792900000428,186021
7792900092683,103262
7792900000138,880523
7790598000355,110981
7790580136239,292294
7790580136116,294792
7790150556740,294505
7790580136079,292279
7790598012600,131040
7790598012617,131024
7794000006164,292719
7791866000480,199119
7791620187693,312593
7790150445365,286606
7792900990774,322359
7798146139045,285264
7798146139229,322562
7791620187716,312600
7798146139052,285265
7793360123474,275504
7790580136215,292298
7790150445396,286620
7792900990705,322565
7796373002934,267312
7798146139038,285262
7891132001675,316956
7891132001682,316958
7798146138963,285258
7891132001699,316959
7891132001668,316957
7792900093246,125248
7790139003173,696239
7792900092980,125250
7790139003166,437502
7790139101183,294222
7792900093024,110390
7790139101145,294219
7790070431486,309232
7791120031557,145157
7790070431448,312233
7790070431493,309233
7790503000081,195768
7790503199112,290916
7791120098888,265520
7790503000265,265665
7790503199105,290917
7792180139573,298785
7790070432254,309951
7790070432261,309950
7798334587030,295945
7798334587078,295978
7798334587061,295946
7798334587009,295977
7790070321565,291347
7793433000640,274034
7793433000688,274044
7790150611074,287906
7793433000671,274036
7792750000937,101613
7790580131364,290487
7793360129940,282060
7793360129957,282061
7891167831100,101130
7891167831117,101131
7790748266204,100943
7790748266167,100862
7798262020043,309738
7798262020104,309740
7798132920435,284729
7790360720382,139130
7790360720115,139190
7796953511153,704306
7796953304120,757179
7790360720122,117137
7790360965127,160512
7796953301129,757144
7790580567903,854964
7794940000536,102235
7794940000550,153512
7792540293754,273972
7792540294607,277478
8445290559975,299265
7790170903692,288887
7790170903654,288885
7790150080825,288882
8445291082212,310695
7790150100783,286078
7613036312752,271510
7790150101476,286080
7790150100462,286076
7790150100806,286375
7891000108819,242409
7790150161227,287922
7790550011290,286528
7613035379213,259524
7790150161401,287928
7790070933645,227139
7790150110386,289594
7791118000503,240361
7790550000157,101079
7790150006320,285074
7790550022456,293917
7798169802681,285748
7790787153664,101495
7798067031275,290498
7794940000857,259158
7790490998019,285000
7794940000765,248591
7792129004559,282535
7799086000266,290040
7622201761288,226274
7790040142985,309274
7622300829728,219280
7790040139657,292473
7790040139930,294180
7622201808860,283897
7891000379073,299969
7790040139176,294176
7622201735319,286194
7891962032306,163757
7790040133242,282679
7790263119665,294364
7798181511004,308704
7793450000364,453457
7798125811023,295927
7798126070931,281293
7790040132955,282355
7795735000328,931241
7795735000342,931268
7790040377707,147902
7792200000777,873381
7792180006455,250602
7798125810521,708071
7793360131554,287692
7792260639689,112616
7793046008477,129753
7790387800142,283925
7790150240175,291045
7790150250150,291047
7790150360262,283866
7790150331088,283867
7790150250525,291592
7790170924642,286366
7790150350171,283868
7792280000360,103361
7790387800159,283926
7790150240427,298043
7790170926646,286368
7790387800173,286955
7790150250327,194183
7790387800203,294878
7792710000182,212169
7793704000928,281332
7793704000881,274292
7790710334603,285499
7790070509109,288789
7790387800197,294877
7792280005686,288177
7792280005693,288186
7790387014617,284479
7790710334535,285492
7790387015317,280974
7790387014624,280973
7790411001514,220870
7790387014143,288867
7790710334597,233036
7790387013498,282143
7790070418203,284535
7622300202859,163312
77961815,243390
77971630,282560
