codigo_interno,nombre_producto,precio_producto
298839,granola tradicional kos food  400grs,"4.379,00"
311226,galletitas dulces chocolinas original 250grs,"2.589,00"
107689,esencia de vainilla don ubaldo 100cm3,"1.290,00"
310362,edulcorante en polvo ledesma con stevia x100 80grs,"3.750,00"
318539,mermelada cooperativa durazno frasco 454grs,"2.590,00"
317805,mermelada bc frutos rojos frasco 390grs,"5.460,00"
321258,pasta de sésamo tahina zeenny 250grs,"10.359,00"
208827,huevo de chocolate kinder rosa x2 40grs,"5.250,00"
311473,harina de maíz prestopronta instantánea 490grs,"1.715,00"
321255,duraznos al natural en mitades cooperativa bajas calorías 800grs,"3.190,00"
267121,dulce de leche repostero cooperativa 400grs,"2.649,00"
311086,caldo de gallina knorr deshidratado 12 cubos 114grs,"2.849,00"
311160,gelatina en polvo exquisita frutilla 25grs,"1.189,00"
312235,galletitas dulces rellenas oreo sin gluten 95grs,"1.790,00"
311144,aceite en aerosol cocinero fritolim clásico 120grs,"4.590,00"
317766,barra proteica ena sabor banana split 46grs,"2.200,00"
228025,conejo de pascua bon o bon chocolate con leche 110grs,"14.339,00"
105791,pasas de uva nogal dorado sin semillas 100grs,"1.939,00"
311143,bizcochos azucarados primer precio 150grs,"1.089,00"
850160,ciruelas desecadas rodriguez acacio 250grs,"2.699,00"
245510,cereales primer precio anillos frutales 160grs,"1.609,00"
274472,lentejas primer precio al natural tetra 340grs,"1.090,00"
134781,fideos cooperativa laminados al huevo 500grs,"3.049,00"
318519,caramelos clight sabor naranja  26grs,"760,00"
866750,bizcochos 9 de oro azucarados 210grs,"1.189,00"
295731,tostadas de arroz leiva aireadas dulces 150grs,"1.490,00"
317763,barra proteica ena sabor frutilla 46grs,"2.200,00"
313038,castañas de cajú el cosaco 120grs,"4.900,00"
311153,polvo para preparar bizcochuelo exquisita chocolate 540grs,"4.289,00"
221868,harina de trigo favorita 0000 1kgs,"1.489,00"
317279,vinagre de alcohol cooperativa sin gluten 500ml,"985,00"
317198,café nescafé gold signature 95grs,"19.660,00"
316698,caldo en cubos primer precio verdura 57grs,"849,00"
298984,edulcorante líquido cañuelas clásico 200cm3,"1.759,00"
310745,mix energético zyma 150grs,"2.850,00"
111708,pasas de uva nogal dorado sin semillas 250grs,"4.849,00"
320963,castañas de cajú zyma 150grs,"6.060,00"
709717,dulce de batata la campagnola lata 700grs,"6.900,00"
100786,cereales primer precio bolitas de chocolate 300grs,"2.149,00"
317760,fideos primer precio tirabuzón 500grs,"699,00"
279828,maíz la abadía pisingallo 400grs,"1.249,00"
253023,madalenas primer precio chips chocolate 250grs,"2.240,00"
289726,polenta cooperativa instantánea 500grs,"669,00"
216870,cereales primer precio almohaditas rellenas limón 180grs,"2.409,00"
315008,fideos wakas penne rigate maíz sin gluten 300grs,"3.550,00"
309888,cóctel de frutas piacere 4 frutas 820grs,"3.490,00"
266607,aceite de girasol primer precio 900cm3,"3.290,00"
299329,nachos doritos queso 129grs,"3.519,75"
320964,mix frutos secos sin pasas zyma bolsa 150grs,"5.049,00"
277300,tomate triturado abeto botella 950grs,"2.589,00"
176479,picadillo de carne changuito 90grs,"890,00"
310108,puré de papas maggi sabor finas hierbas 100grs,"3.740,00"
311172,gelatina en polvo exquisita durazno 25grs,"1.189,00"
105728,garbanzos cooperativa 400grs,"1.969,00"
298950,aceite de oliva cocinero  250cm3,"5.490,00"
268866,condimento para pizza cooperativa 25grs,"829,00"
312092,salsa lista knorr pomarola tipo casera 340grs,"1.499,00"
317955,polvo para preparar brownie exquisita chocolate 425grs,"4.790,00"
146713,sal marina gell singh 120grs,"2.287,00"
317287,chips de manzana roja fruch corte americano 25grs,"2.490,00"
309331,vainillas primer precio x12 148grs,"1.339,00"
280736,caldo en cubos safra verdura  114grs,"1.890,00"
263930,confites rocklets mini 150grs,"6.330,00"
288335,jardinera cooperativa al natural 300grs,"1.179,00"
281109,papas fritas cooperativa corte tradicional 250grs,"4.979,00"
231288,tomate triturado cooperativa botella 950grs,"2.390,00"
257972,snacks de arroz hornados dos hermanos sabor cebolla 80grs,"1.355,00"
311085,caldo en cubos knorr carne deshidratado 114grs,"2.849,00"
100326,lentejón olinto 400grs,"2.920,00"
289544,lentejas al natural ecoop sin sal agregada 300grs,"1.310,00"
288638,jardinera primer precio 300grs,"1.019,00"
293324,palitos de maíz cooperativa sabor queso 150grs,"1.728,00"
199287,mamón en almíbar flor de jardín frasco 400grs,"6.720,00"
715394,salsa narda lepes sriracha 380grs,"8.429,00"
715393,salsa pampagourmet tipo teriyaki con vino 285grs,"7.350,00"
320962,almendras zyma 150grs,"8.160,00"
310142,gelatina en polvo exquisita frambuesa 40grs,"1.190,00"
283201,arvejas primer precio partidas secas 400grs,"990,00"
268865,mezcla cooperativa para preparar chimichurri 25grs,"880,00"
311474,puré de tomate la campagnola 530grs,"1.349,00"
318536,fideos primer precio tallarines 500grs,"699,00"
313160,mix frutos secos zyma con maní 150grs,"4.169,00"
311984,aceite de girasol cooperativa 900cm3,"3.350,00"
189804,fideos bahía blanca laminados al huevo finos 500grs,"3.379,00"
315357,gomitas mogul moras 50grs,"1.290,00"
216449,harina de trigo pureza ultra refinada 0000 1kgs,"1.389,00"
100787,anillos de cereal primer precio sabor limón 300grs,"2.149,00"
136955,oblea bon o bon bañada leche 30grs,"1.350,00"
288338,mermelada la campagnola selección durazno frasco 380grs,"5.350,00"
253020,madalenas primer precio sabor limón 250grs,"1.959,00"
289555,porotos cooperativa secos remojados 300grs,"1.345,00"
217064,salsa de soja primer precio 280grs,"3.149,00"
182397,salsa blanca alicante deshidratada 40grs,"1.655,00"
317758,fideos primer precio mostachol 500grs,"699,00"
279829,porotos alubia la abadía 400grs,"2.690,00"
278550,té la virginia sabor maracuyá x20 40grs,"2.405,00"
290309,té negro virgin islands clásico en saquitos x25 25grs,"2.471,00"
273547,galletitas crackers cooperativa pack familiar x5 505grs,"2.490,00"
317315,papas fritas quento snacks queso crema y ciboulette 82grs,"1.807,00"
269746,huevo de chocolate kinder natoon 20grs,"2.750,00"
316238,pulpa tomate primer precio 520grs,"749,00"
299331,nachos doritos queso 77grs,"2.599,35"
309231,arroz gallo doble carolina 500grs,"1.890,00"
100617,azúcar impalpable don ubaldo 400grs,"2.190,00"
309880,duraznos al natural placere en mitades 820grs,"3.459,00"
311937,galletitas dulces rellenas rumba pack familiar x3 330grs,"4.399,00"
317929,aceitunas verdes oliovita rodajas 100grs,"2.249,00"
313443,copos de maíz cerealcoop tradicionales 150grs,"690,00"
309313,risotto gallo a la española 240grs,"4.190,00"
141927,té verde primer precio en saquitos x25 50grs,"999,00"
100327,lentejas olinto 400grs,"1.990,00"
315744,nachos cooperativa 70grs,"1.470,00"
138871,coco rallado don ubaldo 200grs,"5.090,00"
277532,esencia de vainilla don ubaldo 28cm3,"890,00"
104620,azúcar impalpable don ubaldo 200grs,"1.490,00"
277767,pimientos morrones cooperativa 180grs,"2.690,00"
317795,gomitas mogul moras 80grs,"1.899,00"
216872,cereales primer precio bastón de salvado bran 200grs,"1.905,00"
111716,pasas de uva nogal dorado sin semillas 50grs,"1.440,00"
313162,mix tropical zyma con maní 150grs,"4.329,00"
112808,aceitunas verdes primer precio con carozo 300grs,"1.990,00"
101367,lentejas la egipciana 400grs,"2.299,00"
321429,sazonador ajinomoto floppy con esencia del umami 36grs,"2.959,00"
321385,barra proteica íntegra pasta de mani y arándanos 43grs,"2.200,00"
316074,caramelos halls mentalyptus 25grs,"789,00"
280582,aceto balsámico la toscana suave 250cm3,"3.969,00"
309312,risotto gallo trattoria champiñones 240grs,"4.025,00"
227295,fideos san agustín tirabuzón 500grs,"899,00"
272343,rocío vegetal cañuelas girasol aerosol 150grs,"3.990,00"
277551,tostaditas de arroz cooperativa clásicas 100grs,"1.390,00"
317959,caramelos clight sabor frambuesa  26grs,"980,00"
317800,gomitas mogul eucaliptus 80grs,"1.899,00"
881325,té primer precio boldo x25 37grs,"1.249,00"
323079,sardinas gomes de costa con salsa de tomate  125grs,"2.390,00"
316699,caldo en cubos primer precio gallina  114grs,"1.099,00"
146737,cappuccino instantáneo primer precio tradicional doypack 125grs,"2.999,00"
310141,gelatina en polvo exquisita cereza 40grs,"1.190,00"
147549,té cooperativa mezcla de hierbas x25 37grs,"1.190,00"
317342,garbanzos primer precio secos remojados 340grs,"975,00"
288637,lentejas primer precio secas remojadas 300grs,"1.049,00"
317359,alfajor cooperativa negro con dulce de leche 40grs,"590,00"
152016,oblea bon o bon bañada blanco 30grs,"1.320,00"
254571,chocolate para taza águila semiamargo 60% cacao 150grs,"8.390,00"
310139,gelatina en polvo exquisita frutilla 40grs,"1.190,00"
312644,té la virginia equilibrio relajar 32grs,"2.352,00"
278681,palitos salados primer precio tradicionales 60grs,"639,00"
310664,batatas quento snacks 130grs,"3.450,00"
290444,maní cooperativa tostado con cáscara 300grs,"2.780,00"
298987,edulcorante líquido cañuelas con stevia 500cm3,"5.590,00"
294333,arroz molinos ala yamaní 500grs,"2.890,00"
227290,fideos san agustín mostachol 500grs,"899,00"
317931,aceitunas verdes oliovita enteras 120grs,"1.790,00"
280502,aceitunas verdes cooperativa rellenas 180grs,"3.290,00"
321739,aceitunas negras nucete doypack 100grs,"1.859,00"
312637,fideos wakas fusilli chía sin gluten 300grs,"3.550,00"
225265,aceite de canola ecoop 500cm3,"8.790,00"
312492,tomates peritas salsati pelados enteros 400grs,"1.919,00"
309315,risotto gallo primavera 240grs,"4.190,00"
318003,aceitunas verdes morixe descarozadas doypack 80grs,"1.459,00"
217066,salsa chumichurri primer precio 285cm3,"2.590,00"
197183,condimento para pizza primer precio 50grs,"1.490,00"
279514,fideos laminados cooperativa espinaca 500grs,"3.049,00"
266723,harina de trigo primer precio 000 1kgs,"849,00"
289542,choclo amarillo ecoop en granos enteros sin sal agregada 300grs,"2.020,00"
317796,gomitas mogul dientes 80grs,"1.899,00"
196789,chocolate para taza cooperativa 100grs,"3.490,00"
279822,arvejas la abadia partidas 400grs,"1.259,00"
317770,tostadas de arroz primer precio sin sal 150grs,"1.649,00"
289543,garbanzos ecoop remojados sin sal agregada 300grs,"1.349,00"
310351,chizitos cheetos original 140grs,"3.581,50"
134363,aceitunas verdes nucete descarozadas 80grs,"1.069,00"
872962,té negro primer precio en saquitos x25 50grs,"790,00"
310294,mermelada carmela artesanales frutos rojos frasco 460grs,"5.200,00"
298635,mermelada trini ciruela con stevia frasco 410grs,"8.489,00"
279949,harina de trigo chacabuco 0000 1kgs,"1.270,00"
298838,granola energética kos food  400grs,"4.379,00"
299330,nachos doritos queso 200grs,"5.751,85"
313444,copos de maíz cerealcoop azucarados 200grs,"740,00"
182327,premezcla universal dimax sin tacc 1000grs,"7.109,00"
317273,galletitas granix sin sal agregada pack familiar 3 en 1 600grs,"5.200,00"
316700,caldo en cubos primer precio carne  114grs,"1.099,00"
262619,sal fina marina gell singh bajo en sodio 120grs,"2.249,00"
278249,mermelada trini frutilla con stevia frasco 410grs,"8.489,00"
199286,higo en almíbar flor de jardín frasco 400grs,"12.239,00"
317286,chips de manzana verde fruch 35grs,"2.490,00"
296755,chile badia con lima 184grs,"22.719,00"
154393,coco rallado don ubaldo 25grs,"890,00"
147547,té cooperativa boldo x25 37grs,"1.429,00"
318524,galletitas dulces primer precio tipo maría pack familiar x3 360grs,"1.490,00"
312121,chizitos cheetos original 85grs,"1.923,35"
312087,caldo en cubos knorr verduras cero sodio 114grs,"3.659,00"
317272,galletitas granix sin sal agregada 200grs,"1.790,00"
310036,pasta box con salsas de quesos vaso 64grs,"2.950,00"
310038,pasta box con salsa rosa vaso 64grs,"2.950,00"
318407,dulce de membrillo carmela frasco 460grs,"4.890,00"
321388,granola íntegra frutos secos sin tacc 250grs,"8.500,00"
136956,laurel en hojas don ubaldo  10grs,"1.190,00"
318421,caramelos arcor menta y chocolate 80grs,"1.450,00"
317999,aceitunas verdes nucete en rodajas doypack 90grs,"1.859,00"
316955,aderezo de pescado ajinomoto hondashi 60grs,"2.790,00"
318535,fideos primer precio spaghetti 500grs,"699,00"
269429,champiñones laminados primer precio 400grs,"2.990,00"
313307,cóctel de frutas primer precio 4 frutas 820grs,"3.619,00"
281596,dulce de leche repostero primer precio 400grs,"1.799,00"
298988,edulcorante líquido cañuelas con sucralosa 200cm3,"2.469,00"
321266,premezcla para preparar pancake proteico molé sabor chocolate 450grs,"14.699,00"
313849,chizitos de maíz pehuamar maicitos 265grs,"5.900,00"
322567,sal parrillera entrefina dos anclas 500grs,"1.490,00"
269359,champiñones en trozos cooperativa 400grs,"2.990,00"
102385,pasas de uva rodriguez acacio con semillas 200grs,"1.999,00"
881333,té primer precio manzanilla x25 50grs,"1.219,00"
279795,chocolate para taza palmesano 100grs,"2.890,00"
100641,sardinas puglisi en aceite 170grs,"4.265,00"
318268,pochoclo hanks sabor chocolate 104grs,"2.799,00"
283204,porotos primer precio alubia 500grs,"2.299,00"
318541,mermelada cooperativa damasco frasco 454grs,"2.590,00"
309218,vainillas cooperativa x24 296grs,"3.150,00"
289554,porotos cooperativa al natural colorados 300grs,"1.345,00"
284575,palmitos cooperativa enteros al natural 270grs,"3.100,00"
318079,caramelos butter toffees chocolate 80grs,"1.490,00"
317434,harina de trigo leudante chacabuco 1000grs,"1.490,00"
317318,papas fritas quento sabor cheddar 82grs,"2.139,00"
208831,huevo de chocolate kinder celeste x2 40grs,"5.250,00"
208826,huevo de chocolate kinder rosa 20grs,"2.750,00"
312086,caldo en cubos knorr verduras cero sodio 57grs,"1.810,00"
268864,pimienta blanca molida cooperativa 25grs,"1.450,00"
147545,mate cocido cooperativa x25 75grs,"969,00"
317798,gomitas mogul anillos 80grs,"1.339,00"
321740,aceitunas negras nucete en rodajas doypack 90grs,"2.249,00"
135699,cóctel de frutas comai 4 frutas 820grs,"4.100,00"
269358,champiñones enteros cooperativa 400grs,"3.490,00"
276406,galletas de arroz dos hermanos slim sin sal agregada 100grs,"1.179,00"
317773,mini tostaditas de arroz primer precio con semillas 100grs,"1.359,00"
320966,pistachos zyma 100grs,"7.600,00"
217364,fécula de mandioca flor de jardín sin tacc 1000grs,"3.999,00"
146715,sal marina gell singh 750grs,"5.045,00"
112614,mermelada orieta frutilla light frasco 350grs,"4.390,00"
147544,té negro cooperativa en saquitos x50 100grs,"1.590,00"
321269,granola proteica molé con whey protein y sabor frutos rojos  400grs,"14.699,00"
105726,arvejas cooperativa partidas 400grs,"1.190,00"
311156,polvo para preparar bizcochuelo exquisita coco 540grs,"3.649,00"
313112,maní cooperativa frito salado sin piel 200grs,"1.990,00"
232151,palmitos cooperativa enteros al natural 400grs,"4.190,00"
318420,caramelos arcor rellenos con miel 80grs,"1.450,00"
287017,pickles en vinagre flor de jardín frasco 330grs,"5.985,00"
316428,cappuccino la virginia choco mocha doypack 125grs,"5.539,00"
317990,mermelada orieta ciruela pote 420grs,"1.750,00"
318294,fideos rina matarazzo spaguetti con espinaca 500grs,"3.150,00"
313113,maní cooperativa frito salado sin piel 400grs,"4.290,00"
317321,batatas fritas quento snacks 75grs,"2.269,00"
317190,cápsulas de café nescafé dolce gusto café au lait 100grs,"15.530,00"
311171,polvo para preparar bizcochuelo exquisita limón 540grs,"3.629,00"
318080,caramelos butter toffees surtidos 80grs,"1.490,00"
316064,gelatina en polvo bc cereza 18grs,"1.190,00"
315344,creatina micronizada ena sin sabor 150grs,"22.500,00"
288634,porotos primer precio remojados en lata 300grs,"1.109,00"
272237,yerba mate pipore sublime con palo 500grs,"2.390,00"
315408,galletitas dulces cerealitas granola 170grs,"2.075,00"
318422,caramelos arcor rellenos frutales 80grs,"1.450,00"
286081,café torrado instantáneo la virginia suave frasco 170grs,"8.390,00"
321308,pasta de maní king vita+ 350grs,"3.879,00"
316697,caldo en cubos primer precio carne  57grs,"849,00"
162713,nuez moscada molida primer precio 25grs,"1.659,00"
191713,mermelada la huerta familiar zapallo frasco 450grs,"4.800,00"
290445,maní tostado ecoop sin piel sin sodio agregado 200grs,"1.990,00"
281049,aceite de oliva cooperativa virgen extra 500cm3,"12.390,00"
235734,aceite de oliva cañuelas virgen extra intenso 500cm3,"15.200,00"
322974,aderezo hellmann's sabor asado doypack 250grs,"3.450,00"
147543,té negro cooperativa en saquitos x25 50grs,"849,00"
294769,palitos de maíz krachitos bastonitos sabor queso 150grs,"3.359,00"
321247,té hierbas del oasis manzanilla 50grs,"3.119,00"
317838,café en grano nescafé gold 250grs,"19.590,00"
317282,vinagre de manzana cooperativa sin gluten 500ml,"1.769,00"
320965,mix tropical frutos secos sin pasas zyma 150grs,"4.059,00"
312725,chizitos cheetos ondulados queso crema 85grs,"2.501,85"
315921,caramelos duros halls cherry 25grs,"930,00"
311749,cóctel de 4 frutas cooperativa durazo/pera/ananá/cereza 820grs,"3.700,00"
101974,garbanzos la egipciana 400grs,"2.390,00"
316793,papas fritas quento snacks sabor jamón serrano 82grs,"1.619,00"
299891,mermelada carmela artesanales frutilla frasco 460grs,"4.900,00"
323043,café en cápsulas starbucks espresso roast 55grs,"16.120,00"
321315,harina multicereal pureza con masa madre y levadura 1kgs,"3.650,00"
317804,lomo de atún la campagnola sabor ahumado 170grs,"5.890,00"
318424,bocadito cofler cups original con relleno sabor banana 17grs,"990,00"
277229,té negro hierbas del oasis orgánico x25 50grs,"3.660,00"
313691,yerba mate libre clásica 500grs,"3.349,00"
277771,papas fritas primer precio corte tradicional 50grs,"789,00"
162922,café torrado molido bonafide sensaciones intenso 250grs,"6.490,00"
227296,fideos san agustín ñoquis 500grs,"899,00"
299895,mermelada carmela artesanales frutilla y frambuesa frasco 460grs,"6.090,00"
292539,premezcla arcor para preparar brownie sin tacc 425grs,"5.990,00"
317761,fideos primer precio codo 500grs,"699,00"
102369,harina tostada beiramar 500grs,"1.440,00"
312089,salsa lista knorr pomarola balance 340grs,"1.499,00"
100333,porotos alubia olinto 400grs,"3.839,00"
283021,cous cous mole marroquí 180grs,"4.110,00"
271350,chocolate milka con leche mensajes 55grs,"5.180,00"
310279,tubitos de harina de maíz 3d mega queso 85grs,"3.900,00"
285261,salsa tau chimichurri 310grs,"4.049,00"
282619,yerba mate pipore suave clásica 1000grs,"3.990,00"
322961,dulce de leche ser pote 400grs,"4.290,00"
318077,caramelos butter toffees leche 80grs,"1.490,00"
289548,choclo blanco cremoso cooperativa lata 300grs,"1.095,00"
309758,fideos matarazzo tirabuzón sin tacc 500grs,"4.490,00"
112610,mermelada orieta durazno light frasco 350grs,"3.390,00"
191699,mermelada la huerta familiar durazno frasco 450grs,"4.549,00"
310647,papas fritas quento snacks clásicas 300grs,"5.100,00"
103039,té negro big ben en saquitos x25 50grs,"990,00"
290045,nachos ketsal receta original 250grs,"5.490,00"
881309,té primer precio mezcla de hierbas x25 37grs,"1.029,00"
282344,pimienta negra molida celusal 25grs,"1.399,20"
312642,té la virginia equilibrio fluir 42grs,"2.352,00"
289553,porotos cooperativa al natural negros 300grs,"1.339,00"
278552,copos de maíz azucarados primer precio  240grs,"1.849,00"
322357,tostadas de arroz integral leiva  150grs,"1.490,00"
277552,tostaditas de arroz ecoop semillas molidas 100grs,"1.390,00"
284867,cereales chocolino bolitas 200grs,"3.990,00"
444546,almidón de maíz don ubaldo 200grs,"1.290,00"
313301,galletitas dulces rellenas macucas sabor chocolate 110grs,"1.219,00"
309217,vainillas cooperativa x12 148grs,"1.690,00"
317791,fideos wakas penne rigate quinoa sin gluten 300grs,"3.550,00"
318270,pochoclo hanks sabor frutilla  104grs,"2.799,00"
312246,sopa menú box cañuelas pollo mini ramen 45grs,"2.065,00"
308653,galletitas dulces 9 de oro pepas con membrillo 350grs,"2.990,00"
872954,mate cocido primer precio x50 150grs,"1.690,00"
317957,caramelos confitados bubbaloo masticables 72grs,"1.889,57"
312124,papas fritas pringles original 37grs,"2.872,00"
317281,vinagre de vino cooperativa sin gluten 500ml,"1.429,00"
321259,papas fritas pehuamar acanalada 90grs,"2.749,00"
321248,té hierbas del oasis jengibre 25grs,"4.660,00"
313083,fécula de mandioca el cosaco sin tacc 400grs,"3.650,00"
145240,chupetines baby doll lheritier 24grs,"1.252,00"
317192,cápsulas de café nescafé dolce gusto lungo 70grs,"15.530,00"
280439,fideos san agustín mostachol integral 500grs,"1.869,00"
317355,obleas cooperativa sabor vainilla 100grs,"929,00"
290682,zapallo en almíbar flor de jardín frasco 400grs,"8.039,00"
310033,pasta box con salsa fileto vaso 64grs,"2.950,00"
