ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
7794626013973,Toallitas Húmedas La Sirenita 48 Un Huggies,HUGGIES,Toallas Húmedas Huggies La Sirenita 48u,mundo-bebe
7702031244592,Fecula Johnson´s Baby Origin 200 Gr,JOHNSON BABY,200 gr,mundo-bebe
7790010003193,Jabón Líquido para Bebé Glicerina 200 Ml Johnson's,JOHNSON & JOHNSON,200 ml,mundo-bebe
7790010003261,Acondicionador para Bebé Original 200 Ml Johnson's,JOHNSON´S,200 ml,mundo-bebe
7790070036605,Patitas De Pollo Granja Del Sol Original X 1100 Gr,GRANJA DEL SOL,1100 gr,congelados
7790070036599,Patitas De Pollo Granja Del Sol Original  X 400 Gr,GRANJA DEL SOL,400 gr,congelados
7790360982018,Rebozados de Pollo 380 Grs Swift,SWIFT,Crunchies De Pollo Swift X 380 Gr,congelados
7798342151407,Burger Crispy 2 Un X 100 Gr Not Chicken,NOT CHICKEN,100 gr,congelados
7891515629458,Rebozados de Pollo Dinosaurio 400 Grs Sadia,SADIA,Nuggets Saurio X 400 Gr Sadia,congelados
7891515629465,Nuggets Saurio Sadia X 900 Gr,SADIA,900 gr,congelados
7790670052791,Hamburguesa Paty De Cancha  250 Gr,PATY,250 gr,congelados
7790070040046,Pizza Sabor Mozzarella y Jamón Familiar x 1 Un 530 Grs Sibarita,SIBARITA,Pizza Sibarita Mozzarella Y Jamón X530g,congelados
7798342151124,Nuggets Sabor Tradicional Vegano x 15 Un 300 Grs Not Chicken,NOT CHICKEN,Nuggets 300 Gr Not Chicken,congelados
7790070040015,Pizza Sibarita Mozzarella Clásica X470g,SIBARITA,470g,congelados
7790670052562,Espinaca Green Life 550 Gr,GREEN LIFE,550 gr,congelados
7790670052593,Acelga Green Life 550 Gr,GREEN LIFE,550 gr,congelados
7790670052722,Medallon Green Life Lenteja Y Zanahoria X 4 380 Gr,GREEN LIFE,380 gr,congelados
7798342151582,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,NOT CHICKEN,240 gr,congelados
7891515586720,Alitas de Pollo Crocantes 400 Grs Sadia,SADIA,Alitas De Pollo Golden X 400 Gr Sadia,congelados
7798342151377,Medallón Sabor Tradicional Carne Vegana x 2 Un 160 Grs Notburguer,NOTBURGUER,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,congelados
7790360982247,Nuggets de Brócoli Veggies 300 Grs Swift,SWIFT,Nuggets De Brocoli X 300 Gr Swift,congelados
7790670052616,Chaucha Green Life 350 Gr,GREEN LIFE,350 gr,congelados
7790670052586,Brocoli Green Life 450 Gr,GREEN LIFE,450 gr,congelados
7790670052708,Medallon Green Life Calabaza Y Choclo X 4 380 Gr,GREEN LIFE,380 gr,congelados
7790670052999,Milanesas de Soja Rebozadas x 4 Un 340 Grs Good Mark,GOOD MARK,Medallon De Soja 4 Un X 340 Gr Good Mark,congelados
