"EAN","PRECIO"
"7790040144095","3.159,00"
"7790580146115","799,00"
"7622201735883","5.819,00"
"7790060023684","6.159,00"
"7792540250450","1.569,00"
"7790040720800","3.289,00"
"7622201759636","6.209,00"
"7794000006072","2.889,00"
"7790040143944","949,00"
"7791866001364","3.039,00"
"7798270245148","879,00"
"7799120000887","3.299,00"
"7798174970016","1.399,00"
"7799120005110","1.299,00"
"7793704000928","4.969,00"
"7790070336293","1.849,00"
"7790580138868","1.159,00"
"7798270241492","636,75"
"7798270245124","879,00"
"7790272001029","4.979,25"
"7792180001665","6.219,00"
"7798123134773","1.489,00"
"7790040143234","2.549,00"
"7798153719131","1.529,00"
"7799120000870","3.299,00"
"7799120003949","1.739,00"
"7790387015317","5.369,00"
"7795735000328","1.339,00"
"7790040143357","3.529,00"
"7891000345528","1.409,25"
"7790040143937","949,00"
"7790070336316","1.849,00"
"7799120000610","884,25"
"7790070336118","1.499,00"
"7792350067019","899,00"
"7790503199082","1.899,00"
"7799120000863","1.199,00"
"7798094229881","2.799,00"
"7790503199099","2.129,00"
"7790070433114","1.319,00"
"7790070336071","1.349,00"
"7790040008175","2.729,00"
"7798270245155","879,00"
"7622202839962","3.599,00"
"7794000008557","2.849,00"
"7790072001014","1.559,00"
"7790790120257","789,00"
"7790387800067","2.559,00"
"7794000006478","1.639,00"
"7790070336217","1.849,00"
"7798316700808","3.779,00"
"7798270245131","879,00"
"7790070320315","969,00"
"7790070336026","1.499,00"
"7791866000381","1.739,00"
"7792900000428","1.429,00"
"7791866004211","1.109,00"
"7798270247241","1.059,00"
"7790580567903","1.459,00"
"7790272000831","3.314,25"
"7790040132689","1.369,00"
"7790070336576","3.399,00"
"7793046015024","2.199,00"
"7790040143364","2.859,00"
"7791866001371","5.959,00"
"7790150211939","1.729,00"
"7622201761288","1.089,00"
"7790040143524","4.229,00"
"7790040139015","3.059,00"
