"EAN","PRECIO"
"7793704000928","4.969,00"
"7798123134773","1.489,00"
"7790040143234","2.549,00"
"7798270245124","879,00"
"7799120005110","1.299,00"
"7622201759636","6.209,00"
"7798270245148","879,00"
"7790070336293","1.849,00"
"7792180001665","6.219,00"
"7790580146115","799,00"
"7790040720800","3.289,00"
"7791866001364","3.039,00"
"7790040143944","949,00"
"7790580138868","1.159,00"
"7790060023684","6.159,00"
"7792540250450","1.569,00"
"7799120000887","3.299,00"
"7622201735883","5.819,00"
"7798174970016","1.399,00"
"7790040144095","3.159,00"
"7798270241492","636,75"
"7794000006072","2.889,00"
"7798153719131","1.529,00"
"7790272001029","4.979,25"
"7794000008557","2.849,00"
"7790040143937","949,00"
"7790503199082","1.899,00"
"7799120003949","1.739,00"
"7891000345528","1.409,25"
"7795735000328","1.339,00"
"7790040143357","3.529,00"
"7790387015317","5.369,00"
"7790790120257","789,00"
"7790070336118","1.499,00"
"7790070336316","1.849,00"
"7798094229881","2.799,00"
"7799120000610","884,25"
"7798270245155","879,00"
"7790503199099","2.129,00"
"7799120000870","3.299,00"
"7790070433114","1.319,00"
"7790072001014","1.559,00"
"7790070336071","1.349,00"
"7792350067019","899,00"
"7799120000863","1.199,00"
"7790040008175","2.729,00"
"7622202839962","3.599,00"
"7622201761288","1.089,00"
"7790070336217","1.849,00"
"7790272000831","3.314,25"
"7790070336026","1.499,00"
"7790580567903","1.459,00"
"7790070336576","3.399,00"
"7794000006478","1.639,00"
"7798316700808","3.779,00"
"7791866001371","5.959,00"
"7792900000428","1.429,00"
"7798270245131","879,00"
"7790387800067","2.559,00"
"7791866004211","1.109,00"
"7790040132689","1.369,00"
"7791866000381","1.739,00"
"7790070320315","969,00"
"7790150211939","1.729,00"
"7790040143524","4.229,00"
"7798270247241","1.059,00"
"7790040143364","2.859,00"
"7793046015024","2.199,00"
"7790040139015","3.059,00"
"7790360720115","1.289,00"
"7790480008261","2.769,00"
"7793360131516","3.849,00"
"7793670000076","3.209,25"
"7791120031557","1.789,00"
"7790070318343","1.499,00"
"7622201735906","2.149,00"
"7790580509507","3.099,00"
"7799120004229","3.299,00"
"7794000004993","2.899,00"
"7799120000856","1.199,00"
"7790070342027","969,00"
"7790070336149","1.499,00"
"7790070320308","969,00"
"7790150610305","2.049,00"
"7792900093246","1.709,00"
"7798270244059","1.699,00"
"7790360720382","1.289,00"
"7795735000335","1.339,00"
"7622201735296","2.279,00"
"7792180001641","3.799,00"
"7622201745905","5.429,00"
"7790710334573","4.299,00"
"7790070433176","3.589,00"
"7790070318619","1.849,00"
"7792710000182","1.689,00"
"7790040132955","4.189,00"
"7791866001203","1.549,00"
"7799120000696","699,00"
"7799120003710","3.659,00"
"7790070336309","1.849,00"
"7622201740399","1.089,00"
"7790150565735","1.759,00"
"7798105588853","1.724,25"
"7792200000128","1.379,00"
"7790070431486","1.349,00"
"7790070431509","2.099,00"
"7790070335937","2.149,00"
"7790272001005","3.149,25"
"7794000960138","2.889,00"
"7790070336385","1.499,00"
"7622300742775","1.449,00"
"7798153718004","1.699,00"
"7790150564844","1.009,00"
"7799120004038","1.799,00"
"7794000006188","2.489,00"
"7799120006216","6.699,00"
"7790070036308","4.064,25"
"7790070036315","3.279,00"
"7790360974020","7.439,00"
"7790070036285","6.651,75"
"7799120003468","2.729,00"
"7790070036322","3.729,00"
"7790070036582","6.239,00"
"7799120006223","8.689,00"
"7790070036391","3.359,25"
"7799120003451","4.279,00"
"7799120003444","3.189,00"
"7799120003413","3.949,00"
"7790670052517","4.716,75"
"7790070036414","3.339,00"
"7792335000550","10.995,00"
"7790070036346","3.899,00"
"7790060007967","2.775,00"
"7790670052203","7.064,25"
"7798422170083","11.359,00"
"7790670052500","5.489,25"
"7798422170120","22.159,00"
"7798140550198","6.489,00"
"7798092353120","6.699,00"
"7790670052616","3.929,00"
"7790070036384","2.721,75"
"7792335000543","6.699,00"
"7798140550150","6.999,00"
"7790670052548","4.529,00"
"7799120003420","2.839,00"
"7798140550167","6.999,00"
"7798331180098","2.599,00"
"7790070036292","3.629,25"
"7796746003544","6.999,00"
"7790670052562","5.109,00"
"7790670052593","4.609,00"
"7799120003437","3.199,00"
"7790670052609","4.479,00"
"7798183682917","8.099,00"
"7796746000062","6.699,00"
"7796746000079","10.849,00"
"7798331180135","2.299,00"
"7799120006087","4.649,00"
"7799120006018","2.499,00"
"7798422170021","11.849,00"
"7798016338189","8.499,00"
"7798141132720","5.609,00"
"7798331180081","2.299,00"
"7799120006759","3.499,00"
"7798183683242","6.899,00"
"7798317980414","9.289,00"
"7798317980360","9.289,00"
"7792335001304","3.799,00"
"7798092353731","4.310,00"
"7798142850180","2.799,00"
"7792335001212","2.199,00"
"7798317980353","9.389,00"
"7796746000222","2.499,00"
"7798317980483","7.189,00"
"7799120006025","2.859,00"
"7799120006094","5.349,00"
"7796746000024","4.999,00"
"7798317980384","7.789,00"
"7792335000345","4.750,00"
"7799120004106","2.499,00"
"7792335000314","4.660,00"
"7790670051992","11.436,75"
"7798422170113","14.359,00"
"7796746000031","2.249,00"
"7794729200584","16.639,00"
"7798183682900","8.599,00"
"7796746000017","4.499,00"
"7795165000011","4.409,00"
"7798183683235","6.399,00"
"7798331180166","4.999,00"
"7798015650091","2.999,00"
"7798142850203","4.999,00"
"7798317980438","9.589,00"
"7798142850050","2.999,00"
"7798183683112","9.099,00"
"7792335000338","2.500,00"
"7794729201215","8.909,00"
"7798142850104","2.999,00"
"7798331180180","3.999,00"
"7798142850043","2.999,00"
"7798317980452","9.589,00"
"7798317980445","9.589,00"
"7798331180012","1.999,00"
"7798422170106","23.169,00"
"7790670051985","10.536,75"
"7798317980407","6.589,00"
"7799120000993","1.499,00"
"7793940054006","4.589,00"
"7790398100132","4.399,00"
"7790742363107","2.679,00"
"7790398000272","3.989,00"
"7792882029431","2.099,00"
"7790742625304","3.769,00"
"7790742348302","1.850,00"
"7798312320512","3.089,00"
"7794990879656","3.299,00"
"7798060850026","2.849,25"
"7798153715225","3.399,00"
"7790742358608","2.869,00"
"7798018850184","959,00"
"7790742333605","2.869,00"
"7790742363008","2.679,00"
"7791337010017","4.329,00"
"7798085370080","2.549,25"
"7790742344205","3.899,00"
"7798338290912","2.619,00"
"7798060852044","3.299,00"
"7798338290950","2.809,00"
"7798338291230","2.649,00"
"7790742348005","1.850,00"
"7790360966827","17.639,25"
"7791337008304","2.119,00"
"7798338291131","2.619,00"
"7790742141903","2.659,00"
"7798060853096","4.299,00"
"7794820902721","2.179,00"
"7798060853072","4.299,00"
"7790742373304","5.349,00"
"7790398000265","2.559,00"
"7790309000049","8.699,00"
"7791337061491","8.009,00"
"7790070320940","2.329,00"
"7790813444469","999,00"
